"id","name","status","latest","architecture","risks","h48","d7","d30"
"kma","KnowingMindApp (KMA)","yellow","Cloud Run kma-api online (ingress internal+LB, min=1) มี /api/ping; Firestore native multi-tenant; CI/CD WIF + Artifact Registry","Cloud Run(kma-api) ↔ Firestore ↔ Secret Manager ↔ (แผน) External HTTPS LB/Workflows","ยังเรียกตรงจากอินเทอร์เน็ตไม่ได้เพราะ ingress จำกัด","ตัดสินใจวิธีเข้าภายนอก: LB (Serverless NEG) หรือ Workflows/Scheduler","Docs API (หนังสือเข้า/ออก) + Smoke tests CI","หน้า Admin เอกสาร + usage report"
"arunroo","อรุณรู้ (ArunRoo)","green","n8n Cloud โพสต์รายวัน FB/IG/YT/TikTok (07:30–07:50); Podcast Readcast REV-E (sheet podcast_queue)","n8n ↔ Google Sheets ↔ Social ↔ (ตัวเลือก) KMA hook","โควต้าโพสต์/สิทธิ์สื่อ","notifier เมื่อโพสต์ล้มเหลว + log ต่อแพลตฟอร์ม","UTM→funnel เข้า KMA + analytics","monthly recap อัตโนมัติ (ภาพ+พอดแคสต์)"
"satishift","สติเวร (SatiShift)","green","satishift-webhook(public), satishift-fullstack(00002)/health; Scheduler */5 ยัง UTC; auto rotation, NimmanQueue, AlmsRoutes","LINE OA ↔ Apps Script/Sheets ↔ Full-Stack(Node/TS) ↔ Firestore ↔ Scheduler/Secrets","Timezone เพี้ยน, ต้องพิสูจน์ fairness","ตั้ง Scheduler Asia/Bangkok + log health","สคริปต์ตรวจความยุติธรรม + รายงานสัปดาห์","Temple Starter Kit รีลีส + README ล่าสุด"
"dashboard","KnowingMindDashboard (/v2)","yellow","UI แท็บพร้อม + mock สี; เคยเจอ cache/branch mapping","gh-pages ↔ (แผน) GAS/KMA data source","แคชไม่เห็นการเปลี่ยนแปลงทันที","ฝัง health ของ 3 Cloud Run + n8n last run","ปุ่ม Update now + SW/cache bust auto","กราฟ KPI + แผงผู้บริหาร"
"ai_creator","AI Creator","yellow","เตรียม route /ai/creator/* + Firestore collections","kma-api ↔ Firestore ↔ n8n ↔ Secrets","ต้นทุน/โควต้า AI, คุณภาพคอนเทนต์","POST /ai/creator/tasks + job runner","feedback loop + metric time-to-publish","self-init + แดชบอร์ดคุณภาพ"
"beyond_the_rich","Beyond the Rich (MoneyAI)","orange","sandbox ภายใน; ความสด/ความตรงของผลสดยังไม่นิ่ง","Multi sources ↔ วิเคราะห์ ↔ dashboard/chat","ความแม่นข้อมูล, ความเสี่ยงทางการเงิน","รวมหลายแหล่ง + consensus + time-stamp","hedge/cover module + PnL sim","กรอบจริยธรรม + training-only mode"
"boonroo","BoonRoo (Donation)","yellow","Phase1: PromptPay QR + webhook→Firestore + PDF ใบอนุโมทนา; Budget Alert ผ่าน LINE","kma-api ↔ Firestore ↔ Payments ↔ Secrets ↔ LINE/Email","ความถูกต้องใบอนุโมทนา/ภาษี, ความปลอดภัยคีย์","/donations/hook + PDF stub","Dashboard ยอดรายวัน + LINE Alert","Stripe/Opn + Apple/Google Pay"
"roblox","Roblox Mindful Life","orange","แนวคิด/สคริปต์ตั้งต้น; ยังไม่ production","Roblox(Lua) ↔ GitHub ↔ (แผน) kma-api","ทรัพยากร/เวลา, นโยบายแพลตฟอร์ม","repo + แผนที่ต้นแบบ + โหมดฝึก 1 นาที","hook ส่ง Mindful Minutes กลับ KMA","ทดสอบเล็ก + telemetry บนแดชบอร์ด"
"gov_docs","Government-Docs (KMA)","yellow","สคีมา Firestore docs/sequences/events/notifications พร้อม","kma-api ↔ Firestore ↔ LINE/Email ↔ (แผน) e-Signature","เลขรับ-ส่ง/เวิร์กโฟลว์เซ็น, PDPA","POST /docs/incoming + running number","Inbox view + แจ้งเตือน","ส่งต่อ/มอบหมาย/เซ็น + audit trail"
"eboard","e-Board / Event Broadcasting","yellow","วางแผนหน้า e-Board + เชื่อม FB/YT","GH Pages/KMA Frontend ↔ KMA API ↔ FB/YT/LINE","สิทธิ์/โควต้า API, freshness","หน้า e-Board static (mock→live slots)","ตัวดึงโพสต์/อัลบั้ม/คลิปสอน + แคช","โหมดป้ายประกาศ (auto refresh) + ปฏิทิน"
"lms","LMS / Meditation Courses","yellow","Roadmap คอร์สพื้นฐาน + ใบประกาศ + multilingual","KMA Frontend ↔ kma-api ↔ Payments ↔ Certificates(PDF) ↔ Analytics","ประสบการณ์เรียน/Completion","Course Landing + Checkout (mock)","POST /courses/enroll + PDF template","MVP 1 คอร์ส + metrics"
